Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
22,35-44,Male,Western Expat,Abu Dhabi,Full-time employed,"10,001 - 20,000",Master's Degree,"Married/Partner, with children (teenagers/adults)",2-3 times per month,22,1-2 hours,Coffee/beverages quality,Early morning (6-9 AM),Mostly alone,Daily reader (read every day),58,"E-books (Kindle, tablets)|Online articles/blogs|Physical books (paperback/hardcover)",Children's/Young Adult|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,"Free online resources|Online purchase (Amazon, Noon, etc.)|Public libraries",340,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)",Tea,Bookshelves surrounding|Dim/cozy lighting|Fireplace or warm elements|Individual reading nooks/pods|Minimalist decor|Outdoor seating option,International cuisine options|Sandwiches/Wraps,"No, and not interested","Access to large book collection|Author events/book signings|Book clubs/reading groups|Cozy, comfortable ambiance|Kids' reading corner|Quality coffee and food",Combination of above options,4,5,5,4,3,3,2,5,22,43,Definitely not,0,36-50 AED,4,5,1,5,5,Dining out/cafe hopping|Reading books,Very extroverted (thrive in social settings),Important (consider when possible),Fast follower (adopt after some research),Neutral (try based on mood),10,Definitely will visit,Once a week,Probably yes,Beach/waterfront locations,Distance/location inconvenience|Price might be too high,N/A,N/A
23,25-34,Male,South Asian,Sharjah,Full-time employed,"Above 75,000",Master's Degree,"Single, living with roommates",4-6 times per week,58,30 minutes - 1 hour,Work/study in a different environment,Early morning (6-9 AM)|Evening (6-9 PM),Always alone,Regular reader (3-5 times per week),20,Magazines|Physical books (paperback/hardcover),Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Other,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)|Purchase from bookstores",153,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only","Cold beverages (juice, smoothies)",Greenery/plants|Individual reading nooks/pods|Modern/contemporary decor|Quiet/Silent zones|Vintage/classic decor,International cuisine options|Vegan/Healthy options,"Yes, outside UAE",Ability to purchase books|Access to large book collection|Author events/book signings|Community of like-minded people|Multilingual book collection|Quality coffee and food|Quiet environment for reading,Combination of above options,4,4,4,2,4,3,4,4,52,124,"Yes, definitely",314,21-35 AED,1,1,4,2,4,Reading books|Watching movies/series|Working on personal projects,Somewhat extroverted,Important (consider when possible),Mainstream (adopt when widely accepted),Neutral (try based on mood),10,Probably will visit,Once a month,Definitely not,Near universities/schools,Coffee quality concerns|May be too crowded/noisy,N/A,N/A
24,25-34,Male,GCC National,Ras Al Khaimah,Full-time employed,"10,001 - 20,000",Bachelor's Degree,"Married/Partner, with children (teenagers/adults)",2-3 times per week,29,1-2 hours,Coffee/beverages quality,Lunch time (12-3 PM),Mostly alone,Monthly reader (few times a month),9,"E-books (Kindle, tablets)|Newspapers",Non-Fiction - Science/Technology|Other,Borrow from friends/family,48,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate|Iced coffee,Dim/cozy lighting|Fireplace or warm elements|Modern/contemporary decor|Outdoor seating option|Soft background music|Vintage/classic decor,"Breakfast items|Desserts (cakes, brownies)|Sandwiches/Wraps|Traditional Arabic sweets","No, but interested",Access to large book collection|Book clubs/reading groups|Quality coffee and food,Combination of above options,2,3,1,3,2,2,3,4,27,52,"Yes, depending on price",84,10-20 AED,2,4,1,5,4,Outdoor activities/sports|Reading books|Shopping,Somewhat extroverted,Somewhat important,Mainstream (adopt when widely accepted),Very loyal (stick to favorites),8,Probably will visit,2-3 times per month,Probably yes,Tourist areas,Other,N/A,N/A
25,55+,Female,Western Expat,Ras Al Khaimah,Full-time employed,"5,000 - 10,000",High School or below,"Married/Partner, no children",2-3 times per month,25,Less than 30 minutes (quick coffee),Business meetings|Coffee/beverages quality,Night (9 PM onwards),Always alone,Regular reader (3-5 times per week),21,"Audiobooks|E-books (Kindle, tablets)|Online articles/blogs",Children's/Young Adult|Non-Fiction - History/Politics|Religious/Spiritual,"Online purchase (Amazon, Noon, etc.)",35,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate",Iced coffee|Water only,"Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Fireplace or warm elements|Individual reading nooks/pods|Minimalist decor","No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets","Yes, in UAE",Ability to purchase books|Book exchange program|Kids' reading corner|Multilingual book collection|Work/study-friendly environment,Digital library access + physical cafe,3,4,5,3,4,1,3,2,25,42,Maybe,149,10-20 AED,3,2,4,2,3,Arts & crafts|Reading books|Traveling,Balanced (ambivert),Not a priority,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),9,Definitely will visit,Multiple times per week,Probably yes,Street retail/standalone|Tourist areas,No major concerns,N/A,N/A
26,25-34,Female,South Asian,Dubai,Full-time employed,"10,001 - 20,000",Diploma/Vocational Training,"Single, living alone",Once a week,29,Less than 30 minutes (quick coffee),Coffee/beverages quality,Lunch time (12-3 PM)|Weekends only,Mostly alone,Occasional reader (1-2 times per week),17,Audiobooks|Magazines,Children's/Young Adult|Comics/Graphic Novels|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics,Borrow from friends/family|Public libraries,37,"Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)",Bookshelves surrounding|Dim/cozy lighting|Fireplace or warm elements|Individual reading nooks/pods|Modern/contemporary decor,"Pastries (croissants, muffins)|Salads|Vegan/Healthy options","Yes, in UAE",Author events/book signings|Book clubs/reading groups|Community of like-minded people|Work/study-friendly environment,Purchase books (bookstore + cafe),4,1,3,2,1,3,4,5,25,37,"Yes, depending on price",107,10-20 AED,1,4,3,4,1,Arts & crafts|Dining out/cafe hopping|Shopping,Very introverted (prefer solitude),Not important,Early adopter (love new tech),Somewhat loyal (prefer familiar but open),6,Definitely will visit,2-3 times per month,Definitely yes,Residential communities|Shopping malls,No major concerns|Other,N/A,N/A
27,18-24,Male,Western Expat,Ajman,Full-time employed,"10,001 - 20,000",Bachelor's Degree,"Single, living alone",2-3 times per month,27,Less than 30 minutes (quick coffee),Social meetings with friends/colleagues,Lunch time (12-3 PM)|Night (9 PM onwards)|Weekends only,Mostly with company,Occasional reader (1-2 times per week),9,"E-books (Kindle, tablets)",Non-Fiction - History/Politics|Other|Religious/Spiritual,"Online purchase (Amazon, Noon, etc.)|Public libraries",95,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)|Tea",Dim/cozy lighting|Minimalist decor|Soft background music,"International cuisine options|No food, just beverages|Salads|Traditional Arabic sweets","Yes, outside UAE",Ability to borrow books|Book clubs/reading groups|Book exchange program,Purchase books (bookstore + cafe),3,3,2,2,2,4,2,1,26,41,"Yes, definitely",97,10-20 AED,3,5,1,1,4,Social media browsing|Watching movies/series|Working on personal projects,Balanced (ambivert),Not important,Fast follower (adopt after some research),Variety seeker (always try new places),5,Might visit,Once every few months,Maybe,Mixed-use developments|Residential communities,May be too crowded/noisy|Price might be too high,N/A,N/A
28,18-24,Male,Western Expat,Dubai,Full-time employed,"35,001 - 50,000",High School or below,"Married/Partner, no children",2-3 times per week,39,30 minutes - 1 hour,Coffee/beverages quality|Work/study in a different environment,Night (9 PM onwards),Always with company,Occasional reader (1-2 times per week),19,"E-books (Kindle, tablets)|Magazines|Online articles/blogs",Fiction - Science Fiction/Fantasy|Religious/Spiritual,Borrow from friends/family,74,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Non-caffeinated beverages only",Hot chocolate,"Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Fireplace or warm elements|Natural lighting|Quiet/Silent zones","Desserts (cakes, brownies)|International cuisine options","Yes, in UAE","Book exchange program|Cozy, comfortable ambiance|Quiet environment for reading","Book exchange (bring one, take one)",2,4,3,3,4,1,2,2,36,71,Maybe,280,21-35 AED,5,4,2,3,4,Arts & crafts|Gaming|Working on personal projects,Balanced (ambivert),Important (consider when possible),Mainstream (adopt when widely accepted),Very loyal (stick to favorites),10,Probably will visit,2-3 times per month,Probably yes,Residential communities|Shopping malls,Distance/location inconvenience|Price might be too high,N/A,N/A
29,45-54,Female,South Asian,Ras Al Khaimah,Homemaker,"35,001 - 50,000",Master's Degree,"Married/Partner, no children",Once a week,38,30 minutes - 1 hour,"Relaxation and ""me-time""",Evening (6-9 PM)|Mid-morning (9 AM-12 PM)|Night (9 PM onwards),Mostly alone,Daily reader (read every day),40,Newspapers,Children's/Young Adult|Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir,"Borrow from friends/family|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",231,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate",Water only,Dim/cozy lighting|Minimalist decor|Modern/contemporary decor|Natural lighting|Outdoor seating option|Quiet/Silent zones,"Breakfast items|International cuisine options|Light snacks (cookies, biscuits)","No, and not interested",Ability to purchase books|Access to large book collection|Author events/book signings|Community of like-minded people,Combination of above options,4,5,2,4,5,4,4,4,38,83,"Yes, depending on price",286,21-35 AED,5,5,4,5,3,Reading books|Watching movies/series,Somewhat extroverted,Not important,Fast follower (adopt after some research),Opportunistic (based on deals/convenience),9,Definitely will visit,Once every few months,Maybe,Near universities/schools|Tourist areas,Coffee quality concerns,N/A,N/A
30,35-44,Female,East Asian,Umm Al Quwain,Homemaker,"35,001 - 50,000",Diploma/Vocational Training,"Single, living with roommates",Once a week,55,30 minutes - 1 hour,Free WiFi,Early morning (6-9 AM)|Lunch time (12-3 PM),Mostly with company,Rare reader (few times a year),1,Online articles/blogs,None,Borrow from friends/family|Free online resources|Purchase from bookstores,29,"Arabic/Turkish Coffee|Filter/Drip Coffee|Tea (Black, Green, Herbal)",I don't drink anything while reading,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Greenery/plants|Natural lighting","International cuisine options|Light snacks (cookies, biscuits)","No, but interested",Ability to purchase books|Community of like-minded people|Instagram-worthy aesthetics|Quiet environment for reading|Work/study-friendly environment,Combination of above options,1,1,2,2,1,1,2,1,50,91,"Yes, depending on price",300,21-35 AED,1,1,3,4,2,Learning new skills/courses|Watching movies/series|Working on personal projects,Very introverted (prefer solitude),Somewhat important,Late adopter (adopt when necessary),Very loyal (stick to favorites),9,Definitely will visit,2-3 times per month,Definitely yes,Mixed-use developments|Shopping malls,Distance/location inconvenience|Price might be too high,N/A,N/A
31,45-54,Prefer not to say,South Asian,Dubai,Part-time employed,"5,000 - 10,000",Bachelor's Degree,"Married/Partner, no children",Once a month,22,30 minutes - 1 hour,"Relaxation and ""me-time""",Lunch time (12-3 PM)|Weekends only,Both equally,Regular reader (3-5 times per week),16,"E-books (Kindle, tablets)|Online articles/blogs|Physical books (paperback/hardcover)",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,Borrow from friends/family|Public libraries|Purchase from bookstores,82,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)",Tea|Water only,"Comfortable seating (sofas, armchairs)|Modern/contemporary decor|Quiet/Silent zones|Soft background music","International cuisine options|Pastries (croissants, muffins)|Sandwiches/Wraps|Vegan/Healthy options","No, but interested",Ability to borrow books|Ability to purchase books|Multilingual book collection|Quality coffee and food,Purchase books (bookstore + cafe),3,4,2,3,4,4,2,3,21,38,Probably not,0,0 (Not interested),3,2,3,2,3,Dining out/cafe hopping|Social media browsing|Working on personal projects,Balanced (ambivert),Important (consider when possible),Mainstream (adopt when widely accepted),Neutral (try based on mood),9,Probably will visit,2-3 times per month,Maybe,Residential communities|Street retail/standalone,Distance/location inconvenience|May be too crowded/noisy,N/A,N/A
32,35-44,Female,South Asian,Abu Dhabi,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,"Married/Partner, no children",2-3 times per week,32,Less than 30 minutes (quick coffee),Coffee/beverages quality,Afternoon (3-6 PM)|Evening (6-9 PM),Mostly alone,Monthly reader (few times a month),5,Physical books (paperback/hardcover),Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help,Borrow from friends/family|Purchase from bookstores,29,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)",Hot coffee|Iced coffee,Bookshelves surrounding|Greenery/plants|Modern/contemporary decor|Vintage/classic decor,"International cuisine options|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options","No, but interested",Ability to purchase books|Community of like-minded people|Instagram-worthy aesthetics|Multilingual book collection,Membership for book borrowing (take home),2,3,2,4,2,2,3,1,31,68,"Yes, depending on price",250,36-50 AED,1,3,3,4,4,Learning new skills/courses|Traveling|Working on personal projects,Balanced (ambivert),Somewhat important,Early adopter (love new tech),Neutral (try based on mood),8,Might visit,Once a week,Probably yes,Mixed-use developments|Near universities/schools,Limited book selection|May be too crowded/noisy,N/A,N/A
33,35-44,Male,South Asian,Ras Al Khaimah,Self-employed/Business owner,"20,001 - 35,000",Master's Degree,"Married/Partner, with children (under 12)",2-3 times per month,30,Less than 30 minutes (quick coffee),Coffee/beverages quality,Afternoon (3-6 PM)|Early morning (6-9 AM)|Evening (6-9 PM),Mostly with company,Daily reader (read every day),43,Magazines|Newspapers,Children's/Young Adult|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,Borrow from friends/family|Free online resources,283,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)",Tea|Water only,Fireplace or warm elements|Individual reading nooks/pods|Minimalist decor|Modern/contemporary decor|Outdoor seating option|Quiet/Silent zones,"International cuisine options|Pastries (croissants, muffins)|Salads|Sandwiches/Wraps","No, and not interested",Ability to borrow books|Author events/book signings|Quality coffee and food|Quiet environment for reading,Digital library access + physical cafe,3,3,4,3,3,2,3,3,27,53,"Yes, depending on price",328,21-35 AED,5,5,5,3,2,Social media browsing|Traveling|Watching movies/series,Very introverted (prefer solitude),Very important (influences all decisions),Early adopter (love new tech),Somewhat loyal (prefer familiar but open),10,Definitely will visit,2-3 times per month,Definitely yes,Near universities/schools,No major concerns,N/A,N/A
34,55+,Male,East Asian,Fujairah,Self-employed/Business owner,"Less than 5,000",Bachelor's Degree,"Married/Partner, no children",2-3 times per week,19,2-3 hours,Free WiFi|Work/study in a different environment,Weekends only,Both equally,Monthly reader (few times a month),6,"Audiobooks|E-books (Kindle, tablets)|Physical books (paperback/hardcover)",Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Non-Fiction - Science/Technology|Other|Poetry,Borrow from friends/family|Purchase from bookstores,14,"Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)",Hot chocolate|Hot coffee,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Outdoor seating option|Vintage/classic decor","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)","No, and not interested",Ability to borrow books|Book clubs/reading groups|Work/study-friendly environment,Membership for book borrowing (take home),3,3,4,5,2,2,3,4,16,30,"Yes, definitely",192,0 (Not interested),2,1,3,1,2,Dining out/cafe hopping|Gaming|Watching movies/series,Somewhat extroverted,Important (consider when possible),Early adopter (love new tech),Neutral (try based on mood),8,Probably will visit,Once a week,Probably yes,Mixed-use developments|Shopping malls,Distance/location inconvenience,N/A,N/A
